,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
25994,921440,185,98115,2019-08-21,875000,6059,2480,Traffic Noise,1,2,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,1
25995,921440,285,98115,2019-12-08,530000,5742,3740,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,1,0
25996,921490,95,98115,2019-06-17,995000,6532,1950,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25997,921540,90,98115,2019-01-14,590206,4794,1210,Traffic Noise,1,2,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0
25998,921840,145,98178,2019-04-08,660000,12240,2030,Traffic Noise,1,1,0,0,0,None,1,1,1,0,0,2,1,0,2,0,0,5.0,0,0,0
25999,922140,735,98115,2019-06-24,701000,2760,1590,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,1,0
26000,922140,261,98115,2019-01-28,7250000,973,1130,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26001,922140,263,98115,2019-01-28,7250000,1669,1280,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26002,922140,262,98115,2019-01-28,7250000,1774,1170,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26003,922140,260,98115,2019-01-28,7250000,858,1020,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26004,922140,916,98115,2019-07-26,955000,2149,1880,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,0,0
26005,922590,16,98056,2019-06-05,200000,7389,1120,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,1
26006,922590,35,98056,2019-09-26,415000,10867,2570,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,1,0
26007,923190,313,98103,2019-06-17,839000,1564,2020,Other Nuisances,1,0,0,1,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,1,0
26008,923240,55,98117,2019-08-28,520000,6350,1240,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,0,0
26009,923240,10,98117,2019-11-05,645000,6350,1890,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,0,0
26010,923650,130,98059,2019-10-02,516000,10530,2150,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26011,923780,30,98052,2019-02-08,680000,11568,1320,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26012,923843,630,98072,2019-02-06,1576000,117037,4230,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,0,1
26013,923844,180,98042,2019-11-20,326586,5000,1770,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26014,923845,160,98072,2019-05-06,615000,9630,1280,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26015,923845,20,98072,2019-05-11,635000,9692,1010,Traffic Noise,1,1,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26016,923845,430,98072,2019-05-22,550000,9798,990,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26017,923845,450,98072,2019-07-17,595000,9962,1310,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26018,923845,480,98072,2019-08-05,550000,9666,1280,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26019,923845,250,98072,2019-10-17,504000,10865,1030,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
26020,923845,280,98072,2019-11-19,600000,9605,1380,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,0,1
26021,923850,310,98072,2019-09-30,615000,19985,2580,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,1
26022,923890,1434,98136,2019-01-03,666500,6941,1560,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,1,0
26023,923890,1005,98136,2019-05-14,725000,5645,1800,No Nuisances,0,0,0,0,0,None,1,1,0,0,2,0,0,0,0,0,0,5.0,1,1,0
26024,923890,1265,98136,2019-05-28,725000,5100,1820,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,0
26025,923890,1516,98136,2019-09-09,675000,4285,920,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0
26026,923890,652,98136,2019-09-09,1400000,10202,2450,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26027,923890,1210,98136,2019-09-13,549950,5100,1240,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,0
26028,923890,985,98136,2019-10-31,750500,5100,1600,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,1,0
26029,923890,1330,98136,2019-11-01,775000,6632,1730,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,1,0
26030,923890,830,98136,2019-11-13,735000,4320,1660,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,2,0,0,0,5.0,1,0,0
26031,923890,649,98136,2019-11-25,941775,9108,2330,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
26032,923890,910,98136,2019-12-24,825000,6970,1750,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,1,0,0,0,5.0,1,0,0
26033,924190,219,98199,2019-09-30,1082000,7680,2830,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,2,0,0,0,0,0,7.0,1,1,0
26034,924190,85,98199,2019-12-11,1305000,4614,3110,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,1,1,1
